	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
452	308021194	656.48	19.54	21.20	14.25	4.87	675.79	102.55	22.01
453	308021195	9.66	2.42	21.41	14.69	4.79	642.38	96.93	21.08
454	308021200	145.42	12.18	21.25	10.86	3.97	870.60	147.55	26.74
455	308031206	21.74	2.42	22.75	10.76	4.00	827.32	136.62	23.05
456	308031209	2.26	2.26	23.05	10.41	4.00	865.93	138.07	19.65
457	308031220	15667.35	21.51	22.65	12.04	4.26	732.46	119.98	22.69
458	309041241	51.26	2.34	19.11	10.35	3.70	1630.79	267.36	36.20
459	309041242	95.76	9.01	18.89	10.60	3.77	1387.11	215.33	32.23
460	309061248	14.38	2.4	20.29	10.67	3.76	1415.75	208.09	35.60
461	309071255	18.84	2.36	20.60	10.45	3.79	1236.77	175.37	34.37
462	310021277	3120.97	30.4	18.83	13.07	4.43	982.93	146.58	25.44
463	310021278	172.73	11.66	20.13	12.38	4.26	939.21	144.96	26.15
464	310021280	736.29	12.08	19.81	13.37	4.42	880.50	132.52	23.88
465	310021281	39.05	11.39	20.39	13.03	4.32	862.76	133.68	21.82
466	310021282	41.86	9.57	20.16	13.47	4.43	857.25	128.18	20.57
467	310031290	116	2.32	20.65	12.53	4.17	936.96	143.80	22.91
468	310031294	39.94	4.92	20.26	12.72	4.25	915.08	138.82	21.48
469	311011305	868.58	19.1	18.89	12.18	4.15	1045.95	154.59	25.58
470	311031319	91	2.4	20.45	11.49	4.01	1045.77	158.15	26.83
471	312011338	115.98	7.46	22.90	12.69	4.24	703.66	122.81	12.85
472	312011339	3400	2	23.25	15.01	4.93	549.86	106.11	8.15
473	312011341	22.08	2.46	23.05	13.87	4.46	558.08	97.09	9.04
474	312021351	19.62	2.46	22.54	10.31	3.84	1671.93	411.85	27.16
475	312021352	1048.24	11.77	22.74	9.66	3.77	1599.22	364.01	26.61
476	312021353	3064.86	9.26	23.06	9.99	3.73	1627.72	379.36	22.31
477	312021357	37.38	2.34	22.74	10.02	3.84	1531.74	351.52	22.14
478	313021365	262.08	2.38	20.78	10.47	3.81	1342.87	233.62	33.53
479	313031370	517.78	14	19.45	12.18	4.17	1032.79	161.14	31.94
480	313031371	92.64	6.82	19.65	10.79	3.91	1467.23	256.38	37.14
481	314011387	57.18	2.38	19.51	10.60	3.85	1259.19	206.66	34.41
482	315011396	10809.06	6.7	26.84	10.03	2.00	1529.70	409.97	3.40
483	315011400	282.81	14.13	25.38	12.97	3.12	956.00	265.00	3.36
484	315021406	13729.74	4.76	26.00	14.05	5.08	506.52	126.14	3.06
485	315021407	255223.26	85.02	25.42	15.07	4.74	550.42	147.20	4.02
486	315031408	793248.5	189.02	23.08	15.18	5.39	492.68	93.20	12.45
487	315031409	343059.2	149.75	21.09	14.93	6.15	510.28	80.64	17.79
488	315031410	574255.36	102.89	24.16	15.15	6.30	284.54	56.13	5.36
489	315031411	1499808.8	310.7	22.00	14.11	6.48	337.31	53.97	10.73
