	ASGS	T1	T2	T4	P1	P2	P3
667	508051216	20.86	14.60	6.02	320.61	53.05	10.14
668	508051217	21.35	14.48	5.49	284.71	54.44	6.28
669	509011225	16.54	7.39	2.70	802.89	125.25	21.09
670	509011226	16.26	9.10	3.07	710.01	104.00	22.45
671	509011227	16.53	7.81	2.79	763.24	116.53	21.43
672	509011228	16.17	9.68	3.18	946.00	157.95	22.59
673	509011229	16.55	12.16	4.05	406.37	54.19	16.95
674	509011230	16.43	12.82	4.62	392.25	59.48	11.77
675	509011231	16.07	12.07	4.27	460.92	69.59	13.56
676	509011232	16.31	7.36	2.71	845.10	133.09	21.26
677	509011233	16.26	8.23	2.92	771.95	117.50	21.59
678	509011234	15.93	10.42	3.58	627.02	92.25	20.14
679	509021236	18.62	12.92	5.00	533.61	103.56	8.25
680	509021237	18.49	14.13	5.55	329.18	51.11	12.63
681	509021238	19.14	13.85	5.68	315.63	47.34	12.45
682	509021239	19.34	12.07	4.30	538.20	109.12	6.71
683	509021240	18.28	14.31	5.60	317.21	44.83	13.52
684	509021241	19.76	14.07	5.73	328.00	53.05	10.20
685	509021242	19.20	14.24	5.97	289.45	37.48	12.23
686	509021243	18.19	13.94	5.43	447.97	81.23	7.88
687	509021244	18.19	13.23	5.21	513.64	96.16	8.07
688	509021245	17.79	14.24	5.44	451.77	82.24	9.41
689	509031246	17.24	13.81	5.30	425.22	76.03	10.48
690	509031247	17.20	13.59	4.77	331.59	43.67	15.31
691	509031248	16.80	12.81	4.90	772.39	147.10	11.23
692	509031249	16.58	12.99	4.98	425.66	75.47	10.04
693	509031250	16.35	13.14	4.93	471.46	78.87	9.50
694	601011001	11.62	10.12	3.59	642.71	64.00	38.02
695	601011002	12.36	10.12	3.54	565.09	58.59	34.37
696	601011003	12.59	9.95	3.48	575.61	59.37	35.36
697	601021005	12.76	9.40	3.28	577.62	61.09	35.59
698	601021010	12.47	9.51	3.36	597.23	62.83	36.63
699	601021012	13.12	8.92	3.04	614.55	61.76	39.12
700	601031013	12.67	10.34	3.59	560.45	55.63	34.04
701	601031020	11.15	10.19	3.58	719.54	71.37	41.33
702	601041022	11.67	9.16	3.21	816.00	82.57	48.48
703	601041023	12.85	9.19	3.11	673.11	66.77	39.72
704	601041024	11.20	9.02	3.12	947.34	98.20	53.79
705	601061034	12.46	8.94	3.01	733.00	72.80	45.90
706	601061035	12.44	9.62	3.31	607.45	63.54	37.78
707	602011038	12.94	10.81	3.86	701.48	83.62	34.44
708	602011041	12.91	10.62	3.81	757.82	95.12	34.67
709	602011044	12.41	10.76	3.86	762.39	91.70	36.83
710	602011046	12.55	10.73	3.84	778.69	96.96	36.04
711	602011050	12.36	10.78	3.85	759.07	89.86	36.48
712	602011052	12.73	10.93	3.88	687.17	79.05	34.56
713	602021053	12.87	8.85	3.36	856.01	116.22	33.82
714	602021054	8.20	8.81	3.53	1719.43	237.41	72.68
715	602021055	12.28	10.05	3.65	900.17	117.78	36.27
716	602021056	12.14	11.16	3.90	780.05	95.96	36.53
717	602021057	10.66	11.08	3.87	944.34	126.16	39.45
718	602031058	11.19	10.10	3.78	1022.42	131.24	43.64
719	602031059	13.36	8.77	3.34	849.50	114.73	32.63
720	602031060	12.30	11.37	3.95	688.33	79.16	34.42
721	602031061	10.00	10.65	3.84	826.94	88.03	41.14
722	602031062	12.29	11.30	3.94	654.31	72.36	33.56
723	602031063	13.58	8.31	3.11	897.30	103.26	38.31
724	602031064	11.22	10.02	3.49	1009.40	103.84	53.42
725	603011065	9.33	10.19	3.72	858.55	95.95	40.21
726	603011066	9.21	9.23	3.49	1206.44	135.16	56.46
727	603011067	10.63	10.65	3.71	584.56	59.20	33.87
728	603011068	10.33	8.11	2.91	1804.58	208.10	81.96
729	603021069	11.80	8.15	2.80	948.23	98.72	53.61
730	603021070	11.52	9.46	3.10	954.88	102.38	51.34
731	603021071	11.30	9.14	2.99	1142.96	124.20	58.99
732	603021072	10.46	9.72	3.40	1062.24	113.83	52.91
733	603031073	12.69	8.14	2.72	844.57	86.31	48.70
734	603031074	12.04	10.08	3.20	703.29	73.61	42.25
735	604011076	10.50	8.00	3.13	1520.39	212.46	61.23
736	604011077	13.25	7.95	3.00	976.28	126.74	38.23
737	604011079	12.41	8.08	3.08	1064.62	139.20	43.42
738	604011081	12.72	8.11	3.07	1073.22	143.21	42.09
739	604011082	12.79	8.54	3.17	961.56	128.29	40.25
740	604011083	13.07	8.40	3.12	951.57	125.44	39.03
741	604011084	12.91	8.31	3.10	1038.93	134.62	39.92
742	604021086	12.94	8.95	3.29	863.99	115.05	36.36
743	604021087	12.67	9.46	3.41	867.72	116.37	37.70
744	604021088	13.00	8.98	3.29	892.83	117.85	36.76
745	604021089	12.72	9.10	3.37	852.91	114.72	35.66
746	604021090	12.95	9.16	3.33	882.38	118.06	37.07
747	604021091	9.43	8.42	3.34	1676.83	225.82	74.29
748	604021092	12.89	8.81	3.24	920.47	122.38	38.52
749	604031093	13.99	6.02	2.50	880.51	109.08	33.70
750	604031094	12.43	7.39	2.76	1389.99	173.31	59.27
751	604031095	13.15	8.16	2.91	1052.01	134.82	44.83
752	604031096	10.13	7.77	3.11	1865.93	240.74	76.86
753	604031097	10.17	8.41	3.07	2463.98	295.73	112.93
754	701021012	28.46	9.54	1.63	1737.74	444.20	1.69
755	701031033	28.17	10.06	1.80	1695.39	398.22	1.15
756	702031057	28.26	11.56	2.11	1476.68	335.13	1.28
757	801011012	13.97	12.45	5.43	694.97	77.33	43.61
758	801021027	13.31	12.67	5.32	801.78	85.67	48.41
759	801021028	14.32	12.69	5.43	667.73	75.89	40.99
760	801021029	10.17	12.58	5.15	894.75	95.93	56.17
761	801031030	13.94	13.26	5.45	634.77	75.59	36.71
762	801031032	13.09	13.05	5.35	686.49	80.77	40.68
763	801031033	13.86	13.22	5.47	636.63	76.69	37.59
764	801051054	14.09	12.99	5.49	637.88	75.54	38.14
765	801051061	14.09	12.99	5.49	637.88	75.54	38.14
766	801071089	13.15	13.20	5.32	692.50	78.29	38.16
